date,population_group,returned_to_shelter,moved_to_housing,actively_homeless,newly_identified,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,interaction_age_under16_time,interaction_age16_24_time,interaction_age25_34_time,interaction_age35_44_time,interaction_age45_54_time,interaction_age55_64_time,interaction_age65over_time,population_group_percentage
2023-06-01,Chronic,26,285,5111,648,528,511,835,1024,942,833,438,0.37401512397690156,0.3349127322326054,0.4171336337365604,0.500425003931492,0.8327300677174737,0.9087246354267169,1.061476216481247,49.1
2023-07-01,Chronic,27,160,5145,427,559,530,868,1031,933,796,428,0.5268778340648471,0.49565687962216015,0.5290745916889972,0.5417449638042944,0.8154053693173459,0.6467395236826357,0.953302880399064,50.9
2023-08-01,Chronic,35,169,5338,517,619,554,932,1076,944,795,418,0.8253343915562964,0.7089316395198241,0.7421406596104149,0.7049634306491992,0.9126520593826261,0.664212019488108,0.8344836280052068,53.4
2023-09-01,Chronic,38,219,5596,624,727,591,991,1124,939,801,423,1.3755661409407534,1.045900785137148,0.9543968510020002,0.8888683351786374,0.9172375958769409,0.7420435153572467,0.9480630192706371,54.8
2023-10-01,Chronic,30,492,5564,635,717,610,995,1107,934,771,430,1.3751318345254904,1.2481200241373691,1.0015004203337474,0.863199941589484,0.9185042941098721,0.497818578346583,1.100211777098604,55
2023-11-01,Chronic,66,439,5711,729,693,623,1096,1148,955,767,429,1.3006754197167216,1.4094848297821458,1.3747194586267788,1.0377476542533648,1.0888200050634909,0.47821553189293237,1.1220582230248979,54.4
2023-12-01,Chronic,64,504,5774,634,687,631,1128,1211,946,757,414,1.3121843299113347,1.530807544958766,1.5311129035815403,1.3005755931887135,1.0643009940469383,0.39756640754770844,0.8884938467810802,54.4
2024-01-01,Chronic,78,385,5888,547,714,634,1146,1247,977,758,412,1.5045250735269835,1.6107073574703457,1.6464695954072204,1.4787493497513091,1.316578391939593,0.4208300604481212,0.8808232788908578,53.5
2024-02-01,Chronic,29,370,5940,497,729,621,1162,1257,995,776,400,1.6383263478018468,1.5340622817266232,1.758611457535227,1.565179056401606,1.4890411786208062,0.6199698949330935,0.6779725136582677,53.2
2024-03-01,Chronic,24,326,6288,821,774,675,1294,1364,1018,764,399,1.9493177857152704,2.1292667200246296,2.3105075660367445,2.0365334041409566,1.7035115899145965,0.5108128806373474,0.6779881833834366,58
2024-04-01,Chronic,24,223,6687,752,900,737,1361,1486,1049,757,397,2.7674315503862315,2.8450476203515227,2.6424985635717984,2.5984011358174284,1.9926206612123105,0.44982444009497374,0.6577215306582548,61
2024-05-01,Chronic,29,140,7177,740,1010,791,1499,1612,1103,756,406,3.5278769063286632,3.509533371714888,3.2724334473076766,3.2036926466161257,2.4747009413745706,0.45143016078369713,0.8657698962453313,66.5
2024-06-01,Chronic,27,140,7510,608,1067,829,1638,1696,1129,757,394,3.9923420206494744,4.032441975653704,3.940842637372468,3.6598401656870165,2.756304225627215,0.4759534563686064,0.6310298157736945,70.7
2024-07-01,Chronic,23,245,7671,508,1101,843,1714,1757,1111,751,394,4.322636315591034,4.301056040053737,4.369832883464639,4.03027357454001,2.680999949036049,0.41752594227570533,0.6480670805936265,73.1
2024-08-01,Chronic,39,220,7843,423,1130,856,1754,1806,1140,758,399,4.6350024277232045,4.570258083649583,4.662939283799696,4.363873086990851,3.0016029607219075,0.5142848326768164,0.7797715954778314,74.7
2024-09-01,Chronic,27,258,7822,316,1149,841,1742,1805,1140,754,391,4.888681644117909,4.510678061504754,4.7325582280878065,4.4745906257396255,3.0809869834252566,0.47778591781871965,0.6130072576287525,75.7
2024-10-01,Chronic,38,240,8064,600,1195,870,1776,1889,1170,769,395,5.33588423238625,4.98072023901898,5.00651468191398,4.990353114072183,3.42746495102908,0.6822601270584971,0.7243221361872081,78.1
